latitude,longitude,mag,label
52.0999,178.5218,3.1,0
7.1397,126.738,4.5,0
19.1631,-66.5251,3.93,1
-4.7803,102.7675,4.3,0
53.3965,-166.9417,3.0,1
19.2811,-155.4282,2.8,1
-19.0419,-177.5423,4.1,1
-15.3219,-174.8756,4.1,1
40.7038333,-124.2061667,2.7,1
2.4752,128.6389,4.1,0
51.461,-177.4797,3.0,1
36.5958333,-121.2001667,3.14,1
-15.1473,66.7962,4.2,0
36.595,-121.2063333,3.9,1
52.557,-166.9914,3.6,1
-6.2816,154.6952,4.2,0
52.6145,-166.9988,3.0,1
52.4985,-166.8818,2.6,1
23.9374,122.5711,4.1,0
17.83033333,-65.9855,2.78,1
17.9266,-66.9146,3.81,1
35.8168333,-121.3523333,2.6,1
18.2065,-67.11733333,2.95,1
18.6319,120.9637,4.4,0
10.069,126.5571,4.3,0
36.691,76.9958,4.3,0
17.9275,-66.9091,3.58,1
52.247,-168.3156,3.5,1
-21.2221,-68.9621,4.1,1
-12.8831,166.3007,4.2,0
49.7491,150.7474,4.1,0
51.0929,-176.2184,3.0,1
52.2879,-168.3001,3.4,1
51.117,-176.3119,3.0,1
52.2072,-168.2739,2.8,1
31.71729206,-104.2797612,2.6,1
51.3584,-176.4942,2.9,1
32.6028333,-117.9698333,2.65,1
19.14016667,-156.197,3.77,1
2.0751,128.135,4.3,0
-3.4567,131.0209,4.5,0
18.7635,145.3291,4.4,0
31.68425514,-104.421101,3.3,1
29.7295,70.1934,4.3,0
-21.3126,-67.2105,4.4,1
31.3366,140.9507,4.5,0
38.0399,72.3573,4.0,0
52.1243,-170.3677,2.9,1
-19.0542,-177.6062,4.4,1
18.3643,-68.3946,3.81,1
-4.5724,151.7111,4.4,0
-6.1642,130.3662,4.0,0
37.051,135.2387,4.3,0
19.3601,-65.7256,3.62,1
-2.493,140.7385,4.2,0
6.8279,-73.0877,4.3,1
-7.7223,123.317,4.4,0
52.356,-168.3292,4.3,1
10.5549,-62.3692,4.4,1
33.3975,-116.3898333,2.61,1
9.3909,126.0204,4.4,0
52.1943,-168.3152,2.9,1
52.3012,-168.3514,2.9,1
50.6602,-175.2714,2.8,1
54.4969,-159.5794,2.6,1
17.94783333,-66.9085,2.8,1
27.5974,90.3069,4.4,0
52.1979,-168.2216,3.8,1
54.157,-164.3023,2.8,1
41.9737,142.5635,4.4,0
-22.3734,-179.5312,4.5,1
-18.9878,167.6221,4.2,0
-63.4601,171.7815,4.5,0
-5.8015,101.4021,4.1,0
-63.3763,171.7509,4.5,0
24.0154,121.7126,4.5,0
-24.1203,-66.9233,4.5,1
63.1493,-150.4226,2.6,1
17.9633,-67.0076,4.1,1
17.94633333,-67.0085,2.88,1
17.96616667,-67.00916667,2.66,1
52.8439,-162.1708,3.9,1
17.87983333,-66.958,3.14,1
59.8343,-153.4076,2.7,1
35.729,25.8377,4.4,0
59.929,-151.5805,3.1,1
52.6752,-169.1013,2.9,1
41.1875,140.2171,4.2,0
43.3718,-127.738,3.4,1
43.3989,-127.2682,3.9,1
23.5489,142.4252,4.4,0
31.6774117,-104.4135009,2.8,1
51.3743,-177.885,3.4,1
31.68706615,-104.413051,3.2,1
18.98283333,-67.18883333,3.3,1
16.0955,-95.5745,4.1,1
60.2614,-153.429,2.7,1
19.14566667,-67.251,3.09,1
17.96133333,-67.00466667,2.85,1
-31.3613,-68.2466,4.5,1
19.16066742,-155.3523407,2.75999999,1
36.1405,21.6628,4.1,0
52.2995,-175.8328,3.0,1
51.3249,-179.536,4.2,1
53.8527,-164.0014,2.6,1
31.8534,131.5447,4.2,0
51.8651,-175.1889,2.6,1
36.5797,142.4842,4.5,0
-9.0813,40.6115,4.3,0
-7.0518,125.3116,4.5,0
12.6191,143.3343,4.5,0
-8.3498,112.6405,4.2,0
52.3579,-168.4712,4.3,1
9.7528,-69.6309,4.5,1
36.009,139.9001,4.4,0
35.531,25.8574,3.3,0
18.20283333,-67.14466667,4.0,1
10.8119,91.5945,3.19,0
19.24449921,-155.4095001,4.4,1
3.5828,127.107,2.92,0
-17.8422,-178.4887,4.5,1
-2.5003,140.9669,4.3,0
5.3792,97.0686,4.2,0
-7.5835,127.5134,4.4,0
19.15916667,-66.522,4.0,1
55.5136,162.0419,3.21,0
-2.4043,140.7873,4.4,0
37.371,-118.368,4.4,1
-8.2412,107.9549,3.06,0
-16.0098,-75.0248,4.5,1
10.8475,95.1111,4.4,0
31.72723056,-104.5184535,4.1,1
18.9597,145.067,2.6,0
35.5026667,-118.3831667,4.3,1
10.7847,95.0957,2.68,0
3.6361,124.5139,4.3,0
42.1147,80.921,4.4,0
-22.1015,170.1577,4.2,0
8.4265,126.6748,4.5,0
51.5795,-174.6199,4.5,1
18.36983333,-66.343,2.9,1
-18.287,-70.0597,3.0,1
57.0358,-147.7838,4.1,1
18.5491,-66.8916,2.7,1
17.95783333,-66.845,3.46,1
51.6061,178.6525,2.61,0
-20.8277,-177.8009,2.9,1
45.8784,-27.6336,4.2,1
19.22533333,-66.50166667,4.5,1
-2.4909,140.8952,3.43,0
-16.9179,-72.4467,4.3,1
56.1712,-161.4957,4.4,1
18.82683333,-65.035,2.9,1
41.8058333,-111.9253333,3.0,1
53.4026,-166.9113,2.82,1
40.1091667,-120.9998333,2.6,1
53.7752,-165.4867,2.7,1
58.5106,-156.2819,3.6,1
-7.6475,127.7746,2.6,0
-17.962,-178.327,4.4,1
41.7976667,-111.9216667,4.4,1
23.6068,142.8169,2.66,0
-2.4683,140.9658,4.2,0
23.2472,142.9083,4.2,0
56.1854,-150.0001,4.4,1
60.1189,-150.3174,2.8,1
-31.5582,-69.2794,2.6,1
-2.4736,140.8447,4.5,0
53.7076,-162.7531,4.5,1
52.1993,-168.3672,2.6,1
48.3357,23.1428,3.0,0
19.4895,-155.2671667,4.3,1
11.8178,-86.9783,4.0,1
53.242,-160.6759,4.2,1
52.0622,-168.2535,2.6,1
-2.5084,140.7059,2.7,0
4.2505,126.7251,4.1,0
53.533,-162.7108,4.2,1
52.4714,-172.2354,2.8,1
50.5879,-175.0327,2.9,1
60.9035,-150.5032,2.9,1
55.7866,-149.2476,2.8,1
38.3676,-30.3477,3.3,1
36.4342,22.0756,4.5,0
-6.3171,146.1785,4.1,0
-9.012,158.0908,4.3,0
31.62432781,-104.1197855,4.4,1
36.3591,21.9463,2.7,0
18.83083333,-67.43,4.2,1
41.7943333,-111.9201667,2.85,1
52.3738,-176.5056,3.19,1
-24.1135,-66.8083,2.6,1
-57.5329,-24.7122,4.2,1
-57.6212,-25.0608,4.1,1
18.72383333,-67.46833333,4.3,1
54.8918,160.494,3.15,0
40.0958333,-121.0003333,4.4,1
51.3911,179.5909,2.78,0
42.4106,64.4461,2.8,0
51.5836,178.6887,4.4,0
18.64733333,-66.4505,2.8,1
32.2203333,-115.2365,2.65,1
-27.9547,-66.5814,3.19,1
-9.173,159.2781,4.0,0
54.0941,-164.2786,4.5,1
54.3495,-162.7632,2.7,1
51.24,-179.1762,2.7,1
-23.0128,-179.3674,2.6,1
31.69159742,-104.4890112,4.5,1
-9.1022,-109.2269,3.2,1
33.2233,87.073,4.4,0
38.5425,-119.541,4.1,1
17.9415,-66.91233333,2.84,1
54.5084,-159.7849,2.79,1
19.18,-155.5111667,2.6,1
54.4926,-163.2532,3.28,1
-2.4264,140.8289,3.1,0
40.384,-125.4953333,4.4,1
-2.541,140.6961,2.9,0
18.175,-67.0045,4.2,1
58.439,-153.5308,3.09,1
31.7032,73.979,2.6,0
54.5826,-149.8362,4.2,1
42.7635,140.8293,3.1,0
61.9264,-151.3576,4.2,1
2.4129,128.5835,2.8,0
13.9811,145.2285,4.2,0
31.606508,-103.969597,4.4,1
31.60915019,-103.969743,2.8,1
63.2121,-148.9041,2.9,1
-6.1707,149.1598,3.2,0
-4.9386,151.3056,4.5,0
5.3714,36.8629,4.3,0
-2.4869,140.7561,4.4,0
-23.0579,-68.9523,4.2,1
65.35,-144.8121,4.5,1
26.8335,55.1568,3.8,0
3.5691,126.7719,4.1,0
3.4965,126.6943,4.3,0
54.6006,-159.7453,4.2,1
18.4156,-69.0763,2.7,1
3.6115,126.9024,4.3,0
18.83966667,-154.9016667,4.4,1
55.9201,-155.8299,3.0,1
-30.7554,-71.4941,3.0,1
52.1637,-170.1954,2.8,1
38.7749,23.6272,3.4,0
47.7671,152.4789,4.0,0
36.0211667,-117.7673333,3.1,1
-2.5114,140.7551,4.4,0
60.0048,-147.4059,4.0,1
51.6193,178.711,3.0,0
55.0924,-156.5908,4.4,1
-7.3229,128.6204,2.8,0
-18.3514,-177.9733,2.8,1
2.0929,127.8829,3.1,0
24.8692,122.0854,4.5,0
52.083,-169.628,4.2,1
18.4573,145.3864,4.2,0
17.98466667,-66.88716667,3.8,1
52.7054,-35.0517,3.8,1
19.10116667,-67.93466667,4.5,1
23.2178,121.5972,2.84,0
24.1249,95.8673,4.5,0
53.8696,-165.3805,3.31,1
19.229,-155.3933333,4.2,1
17.8825,-66.85,4.5,1
42.1538,142.0984,3.0,0
53.2755,-164.4086,3.51,1
45.5056,-111.6732,2.94,1
6.7877,-73.0479,4.3,1
40.3233,74.7618,2.8,0
20.2561,145.2427,3.3,0
52.29,-174.3736,4.4,1
-22.8646,-68.4422,4.1,1
-5.9058,102.6237,4.1,0
66.5196,-169.7163,3.1,1
24.8739,122.0714,4.4,0
61.369,-150.1744,4.2,1
24.8617,122.0513,2.6,0
60.7066,-150.6059,4.4,1
-32.7048,-71.2694,3.2,1
51.0251,-179.2712,4.3,1
38.9914,70.5933,2.7,0
28.1765,127.9378,4.2,0
18.1485,-67.66883333,2.9,1
54.2201,-162.4654,4.3,1
51.4409,178.385,4.4,0
36.4511,68.7722,3.25,0
18.7622,145.3968,2.6,0
-14.5268,167.3963,3.2,0
19.076,-66.51883333,4.3,1
50.5649,-174.8369,4.4,1
19.41733333,-155.2796667,4.4,1
17.95383333,-65.45483333,3.3,1
-28.3814,62.6111,3.5,0
21.1214,121.0554,3.26,0
31.69267064,-104.3632971,3.29,1
19.24966621,-155.4001617,4.5,1
54.0834,-166.3874,4.3,1
-24.1567,-67.0685,2.8,1
53.4025,-166.9179,2.72,1
18.8315,-67.168,2.7,1
-5.4967,147.2364,4.4,0
40.7068333,-124.2103333,2.6,1
54.9725,-163.4323,3.37,1
-4.0222,-81.7315,4.2,1
51.9676,-173.1154,3.27,1
52.2534,-165.5877,2.9,1
31.65741025,-104.3035189,4.4,1
31.65838483,-104.2938384,3.3,1
-34.2206,-71.6465,2.7,1
18.51983333,-66.29233333,2.6,1
-8.9505,156.2616,3.4,0
40.7335,-125.2478333,4.3,1
18.7659,145.3589,2.94,0
52.0105,-169.4728,4.5,1
-18.0858,-178.1941,3.23,1
39.6302,-107.4709,3.7,1
14.266,51.7999,2.6,0
25.5883,124.1007,4.0,0
56.4758,-149.1595,2.6,1
-20.8454,-178.8934,4.4,1
-19.9038,-178.0982,4.0,1
-25.3526,-66.2082,3.0,1
-16.7557,-174.7146,2.8,1
59.8061,-146.8832,4.3,1
53.4499,160.7164,4.5,0
1.9538,97.841,4.5,0
35.946,-120.0101667,4.4,1
-25.8965,-177.6721,2.7,1
-31.2708,-178.5371,4.1,1
54.5901,-159.753,4.5,1
42.1719,144.9987,2.78,0
-11.1836,112.5312,4.5,0
18.40383333,-65.421,3.4,1
51.7757,-176.4385,4.4,1
60.6565,-44.0513,2.7,1
17.94816667,-66.956,4.5,1
51.9823,-176.1106,4.4,1
-34.3817,-72.3721,3.27,1
-7.8367,68.0934,3.3,0
51.6487,178.8041,4.3,0
-31.4319,-68.5084,2.9,1
17.91766667,-65.88866667,3.3,1
51.6421,178.6926,4.4,0
-3.8607,133.3183,4.5,0
17.9415,-66.954,2.7,1
54.2817,-162.4949,4.0,1
61.8991,-150.7732,3.07,1
4.1528,122.796,2.8,0
50.4949,156.4062,4.5,0
67.4892,-166.7628,2.68,1
1.5312,126.4499,2.7,0
-0.1516,98.4365,3.0,0
17.95333333,-66.9945,4.5,1
17.95066667,-66.9365,4.2,1
19.01366667,-65.48133333,3.4,1
-22.7191,179.3359,4.2,0
65.2751,-173.4235,4.3,1
-38.4187,176.0906,3.11,0
19.01066667,-65.48866667,2.86,1
19.5168,-109.2864,3.43,1
23.5553,121.3817,4.3,0
-10.4109,161.4776,3.4,0
51.1364,-176.3115,4.1,1
51.2967,-176.3418,3.17,1
34.9885,-3.8382,4.3,1
17.4697,119.6884,4.2,0
54.4016,-159.7564,4.5,1
13.7793,120.7736,3.7,0
50.2663,179.8604,2.7,0
18.8863,-68.9785,4.4,1
-4.4608,144.1696,4.5,0
11.9253,92.6851,3.0,0
18.26916667,-67.11516667,4.4,1
-56.7216,-25.2092,3.1,1
36.4673,142.8207,3.82,0
52.323,-176.1652,4.5,1
16.3251,-93.9968,4.2,1
-22.4016,-177.9185,2.79,1
59.7946,-142.334,4.3,1
-17.8,-178.6206,4.3,1
53.3357,171.3017,2.7,0
52.6264,-169.6385,4.1,1
9.4149,-85.4756,4.1,1
-21.4235,-173.8922,2.7,1
-44.6567,167.3943,4.1,0
60.0457,-152.9715,3.4,1
19.0126,-65.0768,2.7,1
51.9644,-175.1855,4.5,1
63.2225,-150.6819,4.3,1
38.7941666,-122.7473297,4.5,1
18.97433333,-65.12483333,2.6,1
-8.9725,-108.3976,4.16,1
-57.1278,-24.7008,3.1,1
17.93716667,-67.02566667,3.6,1
19.02266667,-65.02566667,2.66,1
18.9135,-64.70866667,3.27,1
51.5723,178.662,4.5,0
19.0355,-65.0655,4.3,1
-18.1752,-177.896,2.86,1
19.2072,-155.4995,3.28,1
61.351,-149.5651,3.39,1
38.6604,75.7027,2.6,0
-7.516,147.1755,2.87,0
-23.5177,-66.8469,4.2,1
53.9135,-165.5983,2.6,1
-14.8069,166.7606,2.9,0
-15.0113,166.6939,4.2,0
52.0196,179.4251,4.4,0
-15.1075,166.8665,4.3,0
-21.0622,-176.412,3.4,1
31.15251661,-103.7240474,4.2,1
-15.083,166.8052,4.2,0
37.7593,126.2251,4.2,0
51.9698,-175.974,4.5,1
-24.2569,179.9771,4.1,0
60.2086,-152.4404,2.6,1
55.3675,-154.0944,4.3,1
-33.0128,-71.3559,3.6,1
60.4692,-152.0598,2.8,1
14.5763,144.248,4.4,0
-15.103,166.5958,3.6,0
-8.8989,-108.4395,2.6,1
1.5274,128.2405,4.3,0
-21.0474,-68.6382,2.7,1
-15.191,166.9059,4.3,0
31.006442,-103.6457569,4.4,1
28.93890381,-98.03733915,4.5,1
-8.698,122.8654,4.3,0
-14.9974,166.7066,4.3,0
31.60753993,-103.9702739,4.4,1
-24.0611,-67.0607,3.2,1
-14.9811,166.7238,3.4,0
40.3766,19.4481,4.0,0
-9.0024,124.1028,4.2,0
-9.0802,123.9138,2.7,0
-14.7608,166.9993,4.2,0
36.5315,70.9571,4.4,0
-1.1106,-13.7917,4.1,1
19.17566667,-155.5011667,4.4,1
-14.9169,166.7465,4.1,0
44.5287,-114.6635,4.4,1
41.9789,-119.5431,4.0,1
35.6632,25.7797,4.4,0
-7.1805,125.2901,2.7,0
-20.8173,-178.7285,4.3,1
41.677,143.4264,2.6,0
42.1468,144.7675,2.6,0
-28.7761,-72.7934,4.3,1
31.60961496,-104.0029631,4.3,1
19.00916667,-65.09466667,4.4,1
-20.0492,-69.377,4.1,1
-15.165,166.787,4.1,0
36.1711667,-118.029,4.3,1
29.6048,-43.0026,2.8,1
-6.815,129.5187,3.17,0
-4.4286,149.9485,4.2,0
23.4009,121.3485,4.2,0
18.91733333,-65.144,2.63,1
24.299,98.7509,4.4,0
39.9291667,-120.747,4.3,1
51.3746,-178.3438,4.2,1
53.0675,-162.0052,4.2,1
19.56816667,-156.2431667,3.14,1
33.4069,142.1393,4.2,0
-8.8244,124.5,2.75,0
-14.9036,-177.4817,3.5,1
38.7881667,-122.7616667,2.9,1
-15.0529,166.7779,2.71,0
-7.12,130.0375,4.2,0
33.396,-116.3966667,4.4,1
